Title,Publisher,Address,Core Collection
ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON INTERNET OF THINGS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON PARALLEL COMPUTING,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON PRIVACY AND SECURITY,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON QUANTUM COMPUTING,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON SENSOR NETWORKS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
